,url_original,url,Adversarial_Attack,Family_Name,DGA_Attack,DGA_Attack_Binary,MaskDGA_Iteration,sub_model_benign_prob,substitute_model
47,hmwkifbmofjnbqivpzsxmrwk.ru,hbwk3rk5owu1xqhcpassmryk.ru,Random_No model,,Random_No model,1,0,0.07319102,No model
48,olgmkmogjoeuabunxyxbs.ms,olguk4ogeoau7junxx1bs.ms,Random_No model,padcrypt,Random_No model,1,0,0.16174304,No model
49,rightworth.net,r3gttw6rth.net,Random_No model,,Random_No model,1,0,0.3880114,No model
50,pzdcleasdfoajbeoeijsljneqe.com,jzk6l5aocfiajbe66ijvr1ncqe.com,Random_No model,,Random_No model,1,0,0.07590477,No model
51,crowdpromise.net,drw8dpro7is1.net,Random_No model,,Random_No model,1,0,0.7194887,No model
52,lykiwonylupa.com,l3-iwqnelup8.com,Random_No model,,Random_No model,1,0,0.9893991,No model
53,bnyyaniidtfhnbvak.net,vnyyanx9mtfhfbva6.net,Random_No model,,Random_No model,1,0,0.26139757,No model
54,echvuxvgyuyfiuhx.net,8yvvw69vquym3nhx.net,Random_No model,,Random_No model,1,0,0.08717725,No model
55,rhggnmppjetubbijb.tv,m-2g6mp-2dh6bcpco.tv,Random_No model,,Random_No model,1,0,0.9991196,No model
56,faeabadocfdkmlkm.com,23eabdzocovsft1u.com,Random_No model,,Random_No model,1,0,0.39931825,No model
57,gkxvtqfhyb.com,zkxi6yfhyb.com,Random_No model,,Random_No model,1,0,0.43811458,No model
58,izyzpeecckmiz.info,ezyamewg19x-z.info,Random_No model,,Random_No model,1,0,0.9574935,No model
59,emmmwsooygqoescu.org,tum1ydvob4ql93c9.org,Random_No model,dircrypt,Random_No model,1,0,0.72529614,No model
60,1rkiwy07r53521hlbe8kmquwfo.biz,i8k954rzru35b1hlv-8-mquwfp.biz,Random_No model,,Random_No model,1,0,0.9982065,No model
61,dtbdjdvwjykusdmkfhg.com,dt9dvdvwiykukd-kfud.com,Random_No model,,Random_No model,1,0,0.965714,No model
62,4asqwi828age.org,dahybi88n4ge.org,Random_No model,,Random_No model,1,0,0.5707964,No model
63,gbrcnqthltnfhyudk.net,7k7pnqtxltnihyydo.net,Random_No model,padcrypt,Random_No model,1,0,0.13619228,No model
64,fvptzsqwkjasuu.com,3o8tw9lwkjlszt.com,Random_No model,,Random_No model,1,0,0.30307946,No model
65,fmswmlswwwoa.com,km2wmly3w8ga.com,Random_No model,,Random_No model,1,0,0.23085155,No model
66,vofedyfejewodybe.com,65fed77ecewod6el.com,Random_No model,ranbyus,Random_No model,1,0,0.7879762,No model
67,gquuhjanle.com,6-7ugjoyb5.com,Random_No model,,Random_No model,1,0,0.99573743,No model
68,ijqfmlgdybkfo.org,i54pql8vybkfq.org,Random_No model,,Random_No model,1,0,0.25736699,No model
69,doyitferbn.com,z3yitferb8.com,Random_No model,,Random_No model,1,0,0.8364533,No model
70,ljpccp.net,vjvcip.net,Random_No model,pykspa,Random_No model,1,0,0.7474399,No model
71,wbthfkvqmg.com,1btufkgqmq.com,Random_No model,,Random_No model,1,0,0.50463927,No model
72,oealedlcaacaekbn.com,oecle163aa-akkbb.com,Random_No model,,Random_No model,1,0,0.9925162,No model
73,jlvzwkrenr.com,4lzzjpdevq.com,Random_No model,,Random_No model,1,0,0.28894278,No model
74,vfrnnwnnnfrn.pw,v9rnnffnmfrq.pw,Random_No model,,Random_No model,1,0,0.22212064,No model
75,qrhdisfyr.bz,4r93izvlo.bz,Random_No model,,Random_No model,1,0,0.9171906,No model
76,wchlzalepq.com,h9ylz1le7q.com,Random_No model,,Random_No model,1,0,0.8366005,No model
77,eahpbmlmkuykxwlnsa.xxx,eahpvezxeuykxw2np8.xxx,Random_No model,,Random_No model,1,0,0.034345064,No model
78,cdbnabdaancbfaba.website,cdhnab9a2scbfaxq.website,Random_No model,,Random_No model,1,0,0.59622127,No model
79,mjuwtupym.com,3jjwtupym.com,Random_No model,,Random_No model,1,0,0.45879656,No model
80,wednesdaywash.net,mrmneiq-yjash.net,Random_No model,,Random_No model,1,0,0.9223733,No model
81,ozobkroxs.com,ozmbknoxl.com,Random_No model,,Random_No model,1,0,0.38779646,No model
82,u0voo01imhxzd1y0dypg8w7hik.com,nfvoo01umhjwq130d95g8d71rk.com,Random_No model,,Random_No model,1,0,0.39801794,No model
83,fmbckbfldfdlffca.com,fmbw5bw0dfdyfrla.com,Random_No model,,Random_No model,1,0,0.149938,No model
84,hkujrioddqurgnqgmouak.mx,hkf89ei1iqzrhnqy2cuak.mx,Random_No model,,Random_No model,1,0,0.09428835,No model
85,usutozthmhqlfdhauaimjayey.biz,nskt4zcmrtrlf2k39alceayey.biz,Random_No model,,Random_No model,1,0,0.6353581,No model
86,opecrddadapmtmcr.ddns.net,dieq6ddajak4tmv3.ddns.net,Random_No model,,Random_No model,1,0,0.23333162,No model
87,eavkwcpvrwyxayljfjbhuwbapbws.info,3alzwcdirwyxayjwuibnmgbt6bws.info,Random_No model,,Random_No model,1,0,0.029086877,No model
88,pbmjdlbztrodnbrccakjofxkbmci.net,pbpj7lberrbdnb2ccakjoze7emcb.net,Random_No model,,Random_No model,1,0,0.17409807,No model
89,13rqxex14qrky71b72owrfh9egp.net,fqfqf5x1uvrky71b7gop9-h9ngp.net,Random_No model,,Random_No model,1,0,0.98983103,No model
90,ddedbyyzf.org,df1dtxyzf.org,Random_No model,,Random_No model,1,0,0.47506928,No model
91,ajinync6af7p54mlmdu.ddns.net,awin1ns6pf7psxmlmd6.ddns.net,Random_No model,,Random_No model,1,0,0.2559222,No model
92,cmysphaobmqh.info,jhydphask-yh.info,Random_No model,,Random_No model,1,0,0.99012566,No model
93,dccclbfdkandnbbm.com,de2cfbw5kyngz6b7.com,Random_No model,,Random_No model,1,0,0.2300368,No model
94,evawotnvzs.com,phablqsvzx.com,Random_No model,,Random_No model,1,0,0.5409979,No model
95,zlnfwsdasgucwdkflamxclhlp.com,uii3ksb2yguqj24--sm3cmilp.com,Random_No model,,Random_No model,1,0,0.9997631,No model
96,fwpynmphfce.info,1wgysephqd3.info,Random_No model,murofet,Random_No model,1,0,0.29517063,No model
97,fxffkpemwqqwbnxes.net,fxffu-esobqwbpxes.net,Random_No model,,Random_No model,1,0,0.9668549,No model
98,dducjskcdo.biz,dq-cxscsqo.biz,Random_No model,newgoz,Random_No model,1,0,0.91481525,No model
99,crgaewtcboyjrvtmhe.com,crg7e4ruboyjrvtata.com,Random_No model,,Random_No model,1,0,0.4957988,No model
100,1f3nezp4hbdi41983z7f1bahco.net,gfnnysa64bai01ry317f1kpqe3.net,Random_No model,,Random_No model,1,0,0.21690692,No model
101,sfvtjbckhlir.xyz,s5vtjbcke9ny.xyz,Random_No model,ramdo,Random_No model,1,0,0.73696077,No model
102,srxdbgeabcrmkdueu.cc,srxdbgeqbmrmkcucp.cc,Random_No model,,Random_No model,1,0,0.04846257,No model
103,pbkhubvcds.com,tbk8u8ncsq.com,Random_No model,,Random_No model,1,0,0.28786474,No model
104,ekolykxucsflqckjcm.biz,eeo0yk3z7aflrc4jc8.biz,Random_No model,,Random_No model,1,0,0.27330226,No model
105,xciveeqote.com,qe6ve4qo7h.com,Random_No model,,Random_No model,1,0,0.1864692,No model
106,edefklbkeddfaalc.eu,jdofflbkoydfaawc.eu,Random_No model,,Random_No model,1,0,0.23659013,No model
107,ucaoygy0aoyk.net,eealjgr---yp.net,Random_No model,,Random_No model,1,0,0.99999785,No model
108,fildbat.net,fi5dba8.net,Random_No model,,Random_No model,1,0,0.91770196,No model
109,vgawhbrdcfdofa.so,vuammxnd7fvdfr.so,Random_No model,,Random_No model,1,0,0.13530828,No model
110,egsmrrjyfiadf.sx,rg8m-5jyfiadf.sx,Random_No model,tempedreve,Random_No model,1,0,0.97346944,No model
111,kzxgbvhhydfshmxycgghy.biz,bmxg4vhzcdfshntycge1z.biz,Random_No model,,Random_No model,1,0,0.2193036,No model
112,zdrqpdpj.net,zdszpyzb.net,Random_No model,,Random_No model,1,0,0.52520937,No model
113,yysxbklokwhvvtfwn.me,youx7k9tk5hvvg-hm.me,Random_No model,,Random_No model,1,0,0.9669893,No model
114,urqwqcixh.net,uwqwqcixh.net,Random_No model,,Random_No model,1,0,0.25840536,No model
115,xbpoqfbai.org,x1qoqfa6y.org,Random_No model,,Random_No model,1,0,0.44828862,No model
116,eircsiseais.ddns.net,4mocsiseaps.ddns.net,Random_No model,,Random_No model,1,0,0.84678525,No model
117,eguwmceoiwq0.top,73uwmh4pi4q0.top,Random_No model,,Random_No model,1,0,0.4173791,No model
118,16s8o4gt1vadwfw.ddns.net,1ts7g4gt1v6xffw.ddns.net,Random_No model,,Random_No model,1,0,0.18886605,No model
119,1htpa2219gt7ua145uqdf1y0n3gr.net,1tt7k2419lt7jh1bwi6ef2y4n3gr.net,Random_No model,qadars,Random_No model,1,0,0.20636156,No model
120,1tu85jkrcrm45fq.ddns.net,e4u80jokcr54af3.ddns.net,Random_No model,,Random_No model,1,0,0.13118297,No model
121,wsewemsaqaeeqqak.org,32ex3mgaqp3equa2.org,Random_No model,,Random_No model,1,0,0.42274967,No model
122,severashould.net,sz7xvanhouid.net,Random_No model,,Random_No model,1,0,0.726521,No model
123,gblmusrd.com,ub1tas7d.com,Random_No model,,Random_No model,1,0,0.89386237,No model
124,lcfbdlmfdnfcblfc.com,l5fpdlm6an7jblsc.com,Random_No model,,Random_No model,1,0,0.20086552,No model
125,1y0px0jzqyo551dexvq11hrfupf.com,1y0px0kz-yc5b4yex7q11hmfupw.com,Random_No model,,Random_No model,1,0,0.17977446,No model
126,iovelufoaxln.info,2dvxfuf6ax2c.info,Random_No model,,Random_No model,1,0,0.27854156,No model
127,pvzepklnxjgpwwph.com,pvoe8k4npjgpx4p0.com,Random_No model,,Random_No model,1,0,0.062862515,No model
128,qkpbpznbpkk.info,qkpbbmwyw8k.info,Random_No model,,Random_No model,1,0,0.110416576,No model
129,aacewmseuskgsuaw.org,94ce96sevskgsubw.org,Random_No model,,Random_No model,1,0,0.58673614,No model
130,ofmdafoebcakaoko.website,ofmd9fdeb--l6-ko.website,Random_No model,,Random_No model,1,0,0.99999964,No model
131,zzibardbentherocknphi.com,qzsbaidbeatbe2o9rhahh.com,Random_No model,,Random_No model,1,0,0.58974206,No model
132,gedaleasdfoajbeoeijsljneqe.com,gexxlebsddoajbeoanj8yjbzqj.com,Random_No model,,Random_No model,1,0,0.07990953,No model
133,ix1da45vy6uhox1ls0g4mt3.ddns.net,exmda654y6uhoxvlsk8umt3.ddns.net,Random_No model,,Random_No model,1,0,0.1110955,No model
134,dxxykoiaz.com,cxxy4wjas.com,Random_No model,,Random_No model,1,0,0.5497126,No model
135,tlvorplzvcnvinlfrsuhetmjvc.ru,tcvcrz-evlgvin3hrsuhetmj8c.ru,Random_No model,,Random_No model,1,0,0.400177,No model
136,urmjin5xuloj585.ddns.net,usvjbn5xxgoj5mv.ddns.net,Random_No model,,Random_No model,1,0,0.05360821,No model
137,vdpzvhemryqmscxxg.net,cw1adhezw-imscl9x.net,Random_No model,,Random_No model,1,0,0.99648607,No model
138,152ynee1g379masv4k8di1r7pc.biz,152yieengk79ma8v4k8dilt6pc.biz,Random_No model,,Random_No model,1,0,0.4844483,No model
139,gpxiyss.net,x03ssuu.net,Random_No model,,Random_No model,1,0,0.71835566,No model
140,tjqwgqccubwfvnuhw.net,tytlgqocupx-vuuhw.net,Random_No model,,Random_No model,1,0,0.6507562,No model
141,vnlqrityhifiteamscengo.com,vn0qriga3yfitenhsclngo.com,Random_No model,tinba,Random_No model,1,0,0.48746723,No model
142,mpcv5vgdqvqlads.ddns.net,dk8p52gyq-qjjd1.ddns.net,Random_No model,,Random_No model,1,0,0.36351082,No model
143,nlabnefaddbdabfk.online,nl2bnefa6dc1arsk.online,Random_No model,,Random_No model,1,0,0.3077689,No model
144,fgrelriftd.com,l06e6k2g8d.com,Random_No model,,Random_No model,1,0,0.34469116,No model
145,eukjwaynunltjzkre.net,eukjwvy9lyltjnare.net,Random_No model,,Random_No model,1,0,0.32928127,No model
146,lyrixirulycy.com,6ywfairulqco.com,Random_No model,,Random_No model,1,0,0.29188663,No model
147,fbehpwqgwnnyodwvt.bit,g2ehpwzgbn5locwvt.bit.,Random_No model,,Random_No model,1,0,0.07321133,No model
148,mdxbawbl.biz,md9b0wg2.biz,Random_No model,,Random_No model,1,0,0.8870374,No model
149,nlatffhqzi.com,nla3f5hqzu.com,Random_No model,,Random_No model,1,0,0.6160236,No model
150,ldianbvf.info,kbiknzvy.info,Random_No model,,Random_No model,1,0,0.6155293,No model
151,ncknntoovckl.info,wcuadmoovck0.info,Random_No model,,Random_No model,1,0,0.48668218,No model
152,vonemokyjamedija.com,v2ptmogyjamzpiaa.com,Random_No model,padcrypt,Random_No model,1,0,0.12775166,No model
153,sdtbsmisrimsxcab.ddns.net,sm4b0mitrimsyca2.ddns.net,Random_No model,,Random_No model,1,0,0.7869926,No model
154,bcrniiikufqe.club,bcrni2iku5ge.club,Random_No model,,Random_No model,1,0,0.68488765,No model
155,catopeaceceasrs.ddns.net,czdoqvm9v8e6shj.ddns.net,Random_No model,ramdo,Random_No model,1,0,0.13295026,No model
156,dgoqyuyrsryhjplxq.com,dblqwhyjsryhj38c7.com,Random_No model,,Random_No model,1,0,0.07903829,No model
157,ysldqmdjnrydorjfwqli.com,tsldgoujnrydorofwuki.com,Random_No model,,Random_No model,1,0,0.25334322,No model
158,q4qk2k24a464.net,q49a2klca484.net,Random_No model,,Random_No model,1,0,0.654584,No model
159,zdyajvublyevecyqj.net,zdy7smgblce4ebyrj.net,Random_No model,,Random_No model,1,0,0.22759247,No model
160,vjnncbrgjqk.us,vjtnrhegja6.us,Random_No model,,Random_No model,1,0,0.357428,No model
161,amemptoccp.ddns.net,cme3n2oecp.ddns.net,Random_No model,ramdo,Random_No model,1,0,0.73503083,No model
162,kbknammbeolfcaed.de,nbunaemlbo3u4ard.de,Random_No model,,Random_No model,1,0,0.6641413,No model
163,wwowocyiuyoouuks.org,nwo7ocb-uuo3uukd.org,Random_No model,,Random_No model,1,0,0.97906756,No model
164,hymqfltpte.bit,wscwjl28te.bit.,Random_No model,,Random_No model,1,0,0.36320892,No model
165,fnmhphjkgbxchxbrm.net,f7mvp8rkgbxshqbvm.net,Random_No model,,Random_No model,1,0,0.04177554,No model
166,iqeekiwysswgmawu.org,iq76kyhubswgqnwu.org,Random_No model,,Random_No model,1,0,0.12227888,No model
167,trawdfsswwmhjbckfqt.bz,trtwdfsfvxm8jbc8zvs.bz,Random_No model,,Random_No model,1,0,0.033846375,No model
168,dqsbvlomd.to,dqrfvlamd.to,Random_No model,,Random_No model,1,0,0.47864282,No model
169,bodlmeobaldablbf.com,-adlmsebavdaplbt.com,Random_No model,banjori,Random_No model,1,0,0.9443245,No model
170,nihwxyskcwbetbrskars.ug,nisc6gn0cebe6m7skans.ug,Random_No model,,Random_No model,1,0,0.81551445,No model
171,pphqubqhfpjtghxswrv.su,epuqc7c3ypjtyhsbwdv.su,Random_No model,,Random_No model,1,0,0.06634021,No model
172,upchkv.se,upch7v.se,Random_No model,,Random_No model,1,0,0.9099581,No model
173,kumkkyiamwumykma.org,kauvkyianw95yk5a.org,Random_No model,,Random_No model,1,0,0.7913088,No model
174,kpssvbytksuka.com,ki70vbttmegla.com,Random_No model,,Random_No model,1,0,0.71484524,No model
175,mwkrbkovqzowwpset.net,9f0rjk0vyzewwoyeq.net,Random_No model,,Random_No model,1,0,0.11498999,No model
176,ptutmsltjt.com,stbq7hltju.com,Random_No model,,Random_No model,1,0,0.35990357,No model
177,lzq7jwxrp5ribud9s12ztb07.biz,ozq742ynp5r7bod9222z1b0g.biz,Random_No model,,Random_No model,1,0,0.6176456,No model
178,ckegpzsodm.com,ckegpzsodm.com,Random_No model,,Random_No model,1,0,0.6424663,No model
179,pfeeftczdjucoqpti.net,zfe7ftc4djuci1ptb.net,Random_No model,proslikefan,Random_No model,1,0,0.32227376,No model
180,figurefather.net,78gcoxbathrr.net,Random_No model,,Random_No model,1,0,0.6886597,No model
181,puzexopodisunoxy.com,puzeoopddisunoxy.com,Random_No model,,Random_No model,1,0,0.21887225,No model
182,pcyqnqmvqajcikqja.pw,pcltnp6vdajc4fqka.pw,Random_No model,,Random_No model,1,0,0.053513583,No model
183,aauksh.net,aqgqsl.net,Random_No model,,Random_No model,1,0,0.65517074,No model
184,asmvdksnylouvorrc.cc,uomvd9s9yfvhvdrfc.cc,Random_No model,,Random_No model,1,0,0.41528988,No model
185,dbfoeodmfmmnamfm.com,-bfoeodmvqmnamg1.com,Random_No model,,Random_No model,1,0,0.70046884,No model
186,eisawgookgkaogmo.org,ejshdsopu6xto4mo.org,Random_No model,,Random_No model,1,0,0.35799357,No model
187,mtsvkzruf.in,qrsvk8rdf.in,Random_No model,corebot,Random_No model,1,0,0.26320034,No model
188,jkhdfrcrxogsocwel.net,jc5dfrrtxo1toimpi.net,Random_No model,,Random_No model,1,0,0.2404209,No model
189,drawspdunpaun.info,dro7ugbinpiun.info,Random_No model,,Random_No model,1,0,0.8665629,No model
190,pujegogudananuvi.com,puj8gosufsfrnucp.com,Random_No model,newgoz,Random_No model,1,0,0.093649745,No model
191,fdclofelcdneafdk.net,fdc9c1el5dnedet6.net,Random_No model,,Random_No model,1,0,0.8954292,No model
192,waewqekjrxjqk.tw,w71wqmgjqsjip.tw,Random_No model,,Random_No model,1,0,0.29707372,No model
193,czvuocdlpt.com,cgxuiqkfdt.com,Random_No model,necurs,Random_No model,1,0,0.20938888,No model
194,dlvyqv.net,dpf7jv.net,Random_No model,,Random_No model,1,0,0.7203418,No model
195,1b541h5j367fod123vs.ddns.net,jbuerh5j344xob1v3vs.ddns.net,Random_No model,,Random_No model,1,0,0.22946931,No model
196,drivecroud.net,-8mheh6ou1.net,Random_No model,,Random_No model,1,0,0.99527305,No model
197,cmcetmctxscmxast.ddns.net,c8cehmccxyrmsjst.ddns.net,Random_No model,,Random_No model,1,0,0.053927895,No model
198,qkaieimeqksqegyk.org,qkpfed1eqvfq4495.org,Random_No model,,Random_No model,1,0,0.37380338,No model
199,yshmlqgj.net,y2hmlq3-.net,Random_No model,,Random_No model,1,0,0.86989176,No model
200,lyxiforolefy.com,gloifo8bledj.com,Random_No model,,Random_No model,1,0,0.5207428,No model
201,cijzfbuik.biz,cijzfbmp5.biz,Random_No model,,Random_No model,1,0,0.5352143,No model
202,6ppkqtmlgkz1s7jht4c6gytp.net,5pzoqtm-g0zzs7x8i423gj0l.net,Random_No model,,Random_No model,1,0,0.7032198,No model
203,acbhfjhvesbdocpjf.net,axb9h8dzdjsdocvjf.net,Random_No model,,Random_No model,1,0,0.08174042,No model
204,qexitugogyvo.com,a8xl4-4okyd4.com,Random_No model,necurs,Random_No model,1,0,0.9952407,No model
205,kewigmce8ysy.top,1ebigmnt8ys4.top,Random_No model,,Random_No model,1,0,0.6067615,No model
206,oojltjrmbmrfydssy.com,l79-gm3p0mriwdssy.com,Random_No model,,Random_No model,1,0,0.97388613,No model
207,rlncdejaxxvlgrdqdpus.tv,yrrcw6j2xxvp3cd66gus.tv,Random_No model,,Random_No model,1,0,0.10321039,No model
208,7lunc4ghkvq630w4ehyjkp7.ddns.net,5l71c4thkgq630hpehz0kp-.ddns.net,Random_No model,,Random_No model,1,0,0.22029755,No model
209,ykkfpudzt.ru,qkkfpwi5d.ru,Random_No model,,Random_No model,1,0,0.5114063,No model
210,wvhwzfotkwqwlz.com,zvjwlfj4kwcwl2.com,Random_No model,,Random_No model,1,0,0.10860154,No model
211,llfmefmmoncabnma.co,l0fme7mjoncainma.co,Random_No model,,Random_No model,1,0,0.67189074,No model
212,uccieyoseucc.org,uhci9yoseyvh.org,Random_No model,,Random_No model,1,0,0.7786442,No model
213,shallgrain.net,amaltgriin.net,Random_No model,,Random_No model,1,0,0.92234945,No model
214,lqptqsnxejris.bit,lkphtvnlejwis.bit.,Random_No model,,Random_No model,1,0,0.2214763,No model
215,affmdbnbcdcmdond.com,a5fzdmnbhdcmdaj8.com,Random_No model,,Random_No model,1,0,0.11308863,No model
216,sppmplihmikl.info,s9rmplihb3nl.info,Random_No model,,Random_No model,1,0,0.87026536,No model
217,rmwttokzebagjeewy.net,6oettomzeuawjeewy.net,Random_No model,tinba,Random_No model,1,0,0.16346043,No model
218,fgjmbqkottut.xyz,fgnzi1kltjbw.xyz,Random_No model,,Random_No model,1,0,0.16434371,No model
219,aalpardbentherocknphi.com,aklp42dwei30nrockiphi.com,Random_No model,ranbyus,Random_No model,1,0,0.696294,No model
220,knownsuppose.net,ffpwess-pose.net,Random_No model,,Random_No model,1,0,0.9867801,No model
221,bmlrswsswojvkibdanblvknphfqw.info,mmlr7wsrcoivbi3rkqbfvkaphu4w.info,Random_No model,,Random_No model,1,0,0.13493183,No model
222,1af0xok1f7ng1q1gl4p1413rs1rd.net,8af0x-91f8pg8vhgl4p1j1grxwrd.net,Random_No model,,Random_No model,1,0,0.030538108,No model
223,nerowjijwlwlchmis.me,n-rowjijwlwlm5mis.me,Random_No model,,Random_No model,1,0,0.8293118,No model
224,i82cewewqcao.net,i84cewe47czd.net,Random_No model,,Random_No model,1,0,0.56990504,No model
225,rqenel.eu,6qsno5.eu,Random_No model,,Random_No model,1,0,0.78980064,No model
226,ffodnbcnfoaelbnn.website,ffod6bcnnoaefgjn.website,Random_No model,,Random_No model,1,0,0.1260569,No model
227,kuisaysuyiocsymu.org,k3i-avsgt4ysayw3.org,Random_No model,,Random_No model,1,0,0.9679548,No model
228,hpdxppeelw.net,sjsx2pxjlw.net,Random_No model,,Random_No model,1,0,0.21031947,No model
229,rdexeoescp.ddns.net,rwe1corsni.ddns.net,Random_No model,,Random_No model,1,0,0.80754805,No model
230,uw6c2kmgak2s.net,up6c2km-ab2c.net,Random_No model,banjori,Random_No model,1,0,0.977412,No model
231,kfhbfomyptblffykn.su,qzpb6owyptk5kfekn.su,Random_No model,,Random_No model,1,0,0.071845286,No model
